edu_id,profile_id,school,degree,field_of_study,start_date,end_date,grade,activities_societies,description,raw_text,sort_order
05cd3ad2-c227-4126-8703-f55d817561c4,dab82746-9cd9-450f-95b5-7798ea6d8adc,University of Calgary,"Master's degree, Neuroscience",,Sep 2023,Aug 2025,,"Member of the Psychedelic and Cannabinoid Therapeutics (PaCT) lab; Outreach Director for the Hotchkiss Brain Institute Trainee Organization; EDIA Coordinator for Let's Talk Science, University of Calgary;",,"University of Calgary Master's degree, Neuroscience Sep 2023 – Aug 2025 Activities and societies: Member of the Psychedelic and Cannabinoid Therapeutics (PaCT) lab; Outreach Director for the Hotchkiss Brain Institute Trainee Organization; EDIA Coordinator for Let's Talk Science, University of Calgary; Abigail (@abby_lunge) on X",0
12d2341f-e889-4eec-b802-e9794db58488,dab82746-9cd9-450f-95b5-7798ea6d8adc,The University of Lethbridge,"Bachelor of Applied Science - BASc, Neuroscience",,Sep 2018,Aug 2022,,Student Wellness Ambassador Programming Chair,,"The University of Lethbridge Bachelor of Applied Science - BASc, Neuroscience Sep 2018 – Aug 2022 Activities and societies: Student Wellness Ambassador Programming Chair Skills: Leadership, Microsoft Excel, +3 skills",1
fec10734-b0d0-4cc0-bfa9-3a6a124ae311,0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,University of Calgary,"Master of Science - MSc, Neuroscience",,2023,2025,,Thesis: Investigating CA1 perineuronal nets and parvalbumin interneurons in hippocampal pattern separation.,,"University of Calgary Master of Science - MSc, Neuroscience 2023 – 2025 Activities and societies: Thesis: Investigating CA1 perineuronal nets and parvalbumin interneurons in hippocampal pattern separation.",0
f81566b7-2f42-4d97-ad5d-0f96b729d154,0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,University of Calgary,"Bachelor of Science - BSc (Magna Cum Laude), PSYCHOLOGY",,,,,,,"University of Calgary Bachelor of Science - BSc (Magna Cum Laude), PSYCHOLOGY Skills: MATLAB, Writing, +1 skill",1
a2c54592-d6e5-45ce-bc2d-1cc342b0e6ad,0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,University of Calgary,"Bachelor of Arts - BA, Minor in Sociology",,,,,,,"University of Calgary Bachelor of Arts - BA, Minor in Sociology Skills: MATLAB, Writing, +1 skill",2
b66f1942-c9ad-4111-afd8-744c841438bc,0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,Université du Québec à Trois-Rivières,International French,,,,,,,Université du Québec à Trois-Rivières International French,3
571217d7-5b04-4a63-bdb2-cd19133b1a1a,f67d4ef6-7478-48a3-b662-e95c80bb7185,University of Calgary,"Master's degree, Kinesiology and Exercise Science",,Sep 2016,Jun 2018,,,"Bachelor of Kinesiology (BKin), Exercise & Health Physiology, with Distinction","University of Calgary Master's degree, Kinesiology and Exercise Science Sep 2016 – Jun 2018 Master of Kinesiology (MKin), Specialization in Applied Exercise Physiology University of Calgary Bachelor's degree, Kinesiology and Exercise Science Sep 2012 – Jun 2016 Bachelor of Kinesiology (BKin), Exercise & Health Physiology, with Distinction",0
83f07c7d-82d4-481c-a283-67fa78bf934a,7c4cf641-6ce3-4b95-aa70-6d33b00929db,University of Calgary,"Master of Science, Neuroscience",,Jan 2025,May 2027,,,,"University of Calgary Master of Science, Neuroscience Jan 2025 – May 2027 University of Calgary Bachelor of Science, Neuroscience Sep 2019 – Apr 2023",0
f3c56840-2182-4294-83e8-fce637422fbd,d2be4191-c62c-489d-9963-e8fdc0fb71bd,University of Calgary,"BSc Honours, Neuroscience",,2023,2027,,,,"University of Calgary BSc Honours, Neuroscience 2023 – 2027 Drumheller Valley Secondary School High School Diploma, 2020 – 2023",0
b51815ee-93ad-46fe-8582-8148b947e062,12c2a5ab-4efc-4485-8621-5a08e597a132,University of Calgary,"Master of Science - MS, Neuroscience",,Sep 2022,Oct 2024,,,,"University of Calgary Master of Science - MS, Neuroscience Sep 2022 – Oct 2024",0
08ca63dc-982d-49e6-8876-212fe886cd05,12c2a5ab-4efc-4485-8621-5a08e597a132,The University of Lethbridge,"Bachelor's degree, Kinesiology and Exercise Science",,2017,Dec 2021,,,,"The University of Lethbridge Bachelor's degree, Kinesiology and Exercise Science 2017 – Dec 2021",1
dfc1d411-5bf5-4486-a48a-c0c26f0f5ac5,12c2a5ab-4efc-4485-8621-5a08e597a132,University of Calgary,"Master's degree, Neuroscience",,Aug 2022,Present,,,,"University of Calgary Master's degree, Neuroscience Aug 2022 – Present",2
4cfce450-379e-4a66-b2db-4f56c7d8cef4,2dbbabc5-fbe2-4ec4-8d94-ac9b4c4cddbd,CDI College,"Medical Office Administration, Health/Health Care Administration/Management",,2012,2013,,,Practicum Experience Alberta Children’s Hospital – Genetic Laboratory Services • Maintained and organized inventory of lab equipment and machines • Updated patient charts with testing results • Organized inactive patient charts and prepared for offsite storage … more,"CDI College Medical Office Administration, Health/Health Care Administration/Management 2012 – 2013 Practicum Experience Alberta Children’s Hospital – Genetic Laboratory Services • Maintained and organized inventory of lab equipment and machines • Updated patient charts with testing results • Organized inactive patient charts and prepared for offsite storage … more",0
52a46a9d-ea17-41e7-83ce-b7120dbfc5f7,f80bd204-4612-4582-b3ff-d08fdac9fffe,University of Calgary,"MD/PhD, Neuroscience",,Sep 2022,Jun 2029,,,,"University of Calgary MD/PhD, Neuroscience Sep 2022 – Jun 2029 University of Calgary Bachelor of Science - BSc (Honours), Neuroscience 2016 – 2021",0
95ff8cf4-6b9d-41d9-b18c-a0bcd8fe6208,13797022-096e-490a-831c-1b09206cf6f5,The University of Manchester,"Bachelor's of science (with Honours), Biotechnology",,2016,2019,2:1,Bangladesh Society- General Secretary Photography Society Peer Assisted Study Scheme Leader Manchester Leadership Award,,"The University of Manchester Bachelor's of science (with Honours), Biotechnology 2016 – 2019 Grade: 2:1 Activities and societies: Bangladesh Society- General Secretary Photography Society Peer Assisted Study Scheme Leader Manchester Leadership Award",0
62928b54-4026-4425-9a63-6bb92cd8237b,13797022-096e-490a-831c-1b09206cf6f5,University of Calgary,"Doctor of Philosophy - PhD, Biochemistry and Molecular Biology",,Jan 2021,Present,,,,"University of Calgary Doctor of Philosophy - PhD, Biochemistry and Molecular Biology Jan 2021 – Present Skills: Conference Speaking",1
76899118-b322-49bc-89e0-9e24b7ba9bda,afede334-d3bd-4233-860a-c2ebeed96bef,University of Calgary,"Doctor of Philosophy - PhD, Neuroscience (MDNS)",,Jan 2025,Aug 2029,,,,"University of Calgary Doctor of Philosophy - PhD, Neuroscience (MDNS) Jan 2025 – Aug 2029 Skills: Clinical Trials, Medical Research",0
b14ea484-42a2-4bbf-a5f8-b9b65e65b559,afede334-d3bd-4233-860a-c2ebeed96bef,University of Calgary,"Bachelor of Health Science, Biomedical Sciences Major and Psychology Minor",,Sep 2019,May 2023,,,,"University of Calgary Bachelor of Health Science, Biomedical Sciences Major and Psychology Minor Sep 2019 – May 2023 Skills: Research",1
84bbb911-c8ec-44e2-bb45-576943118667,afede334-d3bd-4233-860a-c2ebeed96bef,International Baccalaureate,Standard Level: Chinese and Biology,,2016,2019,,,,International Baccalaureate Standard Level: Chinese and Biology 2016 – 2019,2
c736ad8d-fdda-4a09-a5e1-554337d2048e,afede334-d3bd-4233-860a-c2ebeed96bef,Sir Winston Churchill High School,,,2016,2019,,,,"Sir Winston Churchill High School 2016 – 2019 Activities and societies: UNICEF Club, Senior Boys' Volleyball, Sports Medicine Trainer, Science Olympics",3
6fbe4ee7-4981-421a-8e2b-91977fafa0c5,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,University of Calgary,"Bachelor of Science - BSc, PSYCHOLOGY",,Sep 2025,Jun 2029,,- Arts and Science Honours Academy (ASHA) 19th Cohort - Eating Disorder Awareness UCalgary (EDAUC) Junior VP Events - Schulich Soundstage VP Events,,"University of Calgary Bachelor of Science - BSc, PSYCHOLOGY Sep 2025 – Jun 2029 Activities and societies: - Arts and Science Honours Academy (ASHA) 19th Cohort - Eating Disorder Awareness UCalgary (EDAUC) Junior VP Events - Schulich Soundstage VP Events",0
96a21a03-02fb-4a6f-a820-bf582a0f9d7d,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Bishop O’Byrne High School,"High School Diploma, HIGH SCHOOL/SECONDARY DIPLOMAS AND CERTIFICATES",,Sep 2022,Jun 2025,Grades 10-12,"- Creative Writing Club (Founder, President) - Women in STEM Council (Founder, President) - Robotics Club (Head of External Relations, Fundraising Team Lead) - Peer Tutoring (Mathematics/Science Tutor)",94% average in Grade 10 (Full Honours) 90% average in Grade 11 92% average in Grade 12 Made valedictorian shortlist (top 9 students in 2025 graduating class) … more,"Bishop O’Byrne High School High School Diploma, HIGH SCHOOL/SECONDARY DIPLOMAS AND CERTIFICATES Sep 2022 – Jun 2025 Grade: Grades 10-12 Activities and societies: - Creative Writing Club (Founder, President) - Women in STEM Council (Founder, President) - Robotics Club (Head of External Relations, Fundraising Team Lead) - Peer Tutoring (Mathematics/Science Tutor) 94% average in Grade 10 (Full Honours) 90% average in Grade 11 92% average in Grade 12 Made valedictorian shortlist (top 9 students in 2",1
ebd9a6f5-a307-4797-9790-a42cf07f9dfe,15ad71bb-f4ee-402d-914a-2d6c0575e053,Royal College of Surgeons in Ireland (RCSI),MB BCh BAO,,,,,,,Royal College of Surgeons in Ireland (RCSI) MB BCh BAO St Francis High School Alberta High School Diploma Sep 2019 – Jun 2022,0
a6bd633d-5293-403b-96b9-e048d3aab404,83b39db3-81d5-4826-a845-78dd04233ffe,Haskayne School of Business,Masters of Management,,Sep 2025,Aug 2026,,,"Bachelor of Science - BSc, Biological Sciences, Minor in Psychology","Haskayne School of Business Masters of Management Sep 2025 – Aug 2026 University of Calgary Bachelor of Science - BSc, Biological Sciences, Minor in Psychology 2018 – 2022",0
f34e703c-7371-4730-8092-c9cdf019bb69,132edda5-7e0f-4faf-9db7-4dcf646f9565,University of Saskatchewan,"Master of Arts (MA), Political Science and Government",,,,,,,"University of Saskatchewan Master of Arts (MA), Political Science and Government",0
dacc6767-7e27-475e-a9bc-4121518c2a6b,132edda5-7e0f-4faf-9db7-4dcf646f9565,Mount Royal University,Management development program,,2013,2015,,,,Mount Royal University Management development program 2013 – 2015,1
8fa70ada-8523-4e41-a59f-e75c4c84444c,132edda5-7e0f-4faf-9db7-4dcf646f9565,University of Saskatchewan,"Bachelor of Arts (BA), International Development",,,,,,,"University of Saskatchewan Bachelor of Arts (BA), International Development 2003",2
88c924e2-956f-4b54-8483-8a4220770f4b,132edda5-7e0f-4faf-9db7-4dcf646f9565,Mount Royal University,Project Management,,,,,,,Mount Royal University Project Management 2013,3
1ebca6ed-fc74-4d7b-9642-639ede826d16,132edda5-7e0f-4faf-9db7-4dcf646f9565,Max Bell Public Policy Institute,,,,2011,,,,Max Bell Public Policy Institute 2011,4
082c8404-06d6-4765-9e93-fcba2c000bfb,132edda5-7e0f-4faf-9db7-4dcf646f9565,University of Calgary,"Certificate Program, Public Relations",,,,,,,"University of Calgary Certificate Program, Public Relations 2020",5
e2812f40-d25f-4786-9e01-01f6db214e56,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Bangor University,"PhD, Electronic Engineering, specialising in Biotechnology",,1998,2002,,,Fabrication and testing of Lab-on-a-chip devices for investigating parasite viability using electrokinetic techniques was supported by the BBSRC in collaboration with the Scottish Parasite Diagnostic Laboratory in Glasgow. … more,"Bangor University PhD, Electronic Engineering, specialising in Biotechnology 1998 – 2002 Fabrication and testing of Lab-on-a-chip devices for investigating parasite viability using electrokinetic techniques was supported by the BBSRC in collaboration with the Scottish Parasite Diagnostic Laboratory in Glasgow. … more",0
c09e6598-fe1a-489f-9b78-cc9655f8c909,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Bangor University,"M.Sc., Fabrication and testing of semi-conducting polymers",,1996,1998,,,"Distinction for dissertation on ‘Preparation and characterisation of the low band gap polymer, PCDM’","Bangor University M.Sc., Fabrication and testing of semi-conducting polymers 1996 – 1998 Distinction for dissertation on ‘Preparation and characterisation of the low band gap polymer, PCDM’",1
349493b9-7282-4e31-afea-875ae9bf6ef3,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Bangor University,"B.Eng.(Hons), Electronic Engineeing",,1990,1994,,,Specialised in microelectronics and electronic materials. Final year project sponsored by UK Health & Safety Executive. Member of two award winning Team projects sponsored by BT labs. … more,"Bangor University B.Eng.(Hons), Electronic Engineeing 1990 – 1994 Specialised in microelectronics and electronic materials. Final year project sponsored by UK Health & Safety Executive. Member of two award winning Team projects sponsored by BT labs. … more",2
996c0c9e-ebf5-4695-912f-e46824b9cfd0,3fa1944d-4ac9-43ec-bb6c-8661fb188dbd,University of Calgary,"Doctor of Philosophy - PhD, Neuroscience",,2023,2028,First Class Honors,,"Bachelor of Health Sciences - BHSc, BIOLOGICAL AND BIOMEDICAL SCIENCES","University of Calgary Doctor of Philosophy - PhD, Neuroscience 2023 – 2028 Skills: Microsoft Excel, Presentations, +2 skills University of Calgary Bachelor of Health Sciences - BHSc, BIOLOGICAL AND BIOMEDICAL SCIENCES Sep 2019 – Apr 2023 Grade: First Class Honors",0
9e98b9af-dc97-4c98-9b98-c1fcba07fa07,b99bf52f-dedb-4bdb-827c-ec326d849d0e,University of Calgary,"Doctor of Philosophy - PhD, Biomedical/Medical Engineering",,May 2023,Present,,,"Bachelor of Medicine, Bachelor of Surgery, Medicine","University of Calgary Doctor of Philosophy - PhD, Biomedical/Medical Engineering May 2023 – Present Skills: Systems Neuroscience, Computational Neuroscience, +9 skills Mansoura University School of Medicine Bachelor of Medicine, Bachelor of Surgery, Medicine Sep 2014 – Mar 2022 Skills: Clinical Research, Neuroscience, +1 skill",0
61e08227-a4d8-44a4-a6af-d4d766d70ccd,f9d35219-08ea-4a5d-81e8-95a859aabe3f,Haskayne School of Business,"Masters of Management, Business",,Aug 2023,Aug 2024,,,"• Comprehensive knowledge in business strategy, corporate social responsibility (CSR), entrepreneurship, innovation, finance and accounting, IT, marketing, organizational behavior, leadership, and supply chain management through case-base analysis, presentations, and practical application of management concepts. • Academic and behavioural excellence by leading and excelling in interdisciplinary team projects. … more","Haskayne School of Business Masters of Management, Business Aug 2023 – Aug 2024 • Comprehensive knowledge in business strategy, corporate social responsibility (CSR), entrepreneurship, innovation, finance and accounting, IT, marketing, organizational behavior, leadership, and supply chain management through case-base analysis, presentations, and practical application of management concepts. • Academic and behavioural excellence by leading and excelling in interdisciplinary team projects. … more",0
0438f85e-3505-4cf2-931f-7dd255297c11,f9d35219-08ea-4a5d-81e8-95a859aabe3f,Mount Royal University,"Bachelor of Science - BS, Health Science",,Sep 2017,Dec 2021,,Future Graduates Association (FGA). MRU Recreation Hockey Intramural. Inducted into Golden Key International Honor Society.,"A degree focused on the health and science of the human body. • physiology, pathophysiology, anatomy, histology, human conception, embryology etc. Additional experience in a variety of subjects. • chemistry, physics, psychology, anthropology, and bioethics. Extensive laboratory experience, computers skills (Microsoft Office), and data analysis. … more","Mount Royal University Bachelor of Science - BS, Health Science Sep 2017 – Dec 2021 Activities and societies: Future Graduates Association (FGA). MRU Recreation Hockey Intramural. Inducted into Golden Key International Honor Society. A degree focused on the health and science of the human body. • physiology, pathophysiology, anatomy, histology, human conception, embryology etc. Additional experience in a variety of subjects. • chemistry, physics, psychology, anthropology, and bioethics. Extensiv",1
cdf588e4-7d6a-422f-a3a9-fc94e67ba380,b09e11c3-3662-43d4-be74-d01aa75f830e,University of Calgary,"Honours Bachelor of Science, Neuroscience",,Sep 2023,Apr 2027,,"AP Courses: Biology, Physics 1, Physics 2, World History, Literature and Composition. Science Fair, Designer Genes Club, Graduation Evening Committee Manager, French Peer-Tutor, Legacy Project, Voices Magazine, Volleyball","High School Diploma, Science Focus and AP Curriculum","University of Calgary Honours Bachelor of Science, Neuroscience Sep 2023 – Apr 2027 Webber Academy High School Diploma, Science Focus and AP Curriculum Aug 2020 – Jun 2023 Activities and societies: AP Courses: Biology, Physics 1, Physics 2, World History, Literature and Composition. Science Fair, Designer Genes Club, Graduation Evening Committee Manager, French Peer-Tutor, Legacy Project, Voices Magazine, Volleyball",0
bfd63f16-a971-46a0-a8f0-2b54f90046db,d0acaa7f-1d1c-4ed4-b005-f761383bc900,University of Calgary,Bachelor of Arts - Honours,,,,,,,University of Calgary Bachelor of Arts - Honours,0
b497445a-07e3-4b66-9a02-5b031c89d5ba,5385d9fe-df58-4a0d-ad98-797e1c93bc7e,University of Calgary,"Master's degree, Health Services Research",,2014,2016,,,,"University of Calgary Master's degree, Health Services Research 2014 – 2016",0
da4c5f5c-7e14-4c5e-a2e0-ff949bcfcc1e,5385d9fe-df58-4a0d-ad98-797e1c93bc7e,University of Calgary,Geriatric Medicine Residency Program,,2013,2016,,Chief Resident,,University of Calgary Geriatric Medicine Residency Program 2013 – 2016 Activities and societies: Chief Resident,1
8cbfcfe2-053b-45c4-a0a4-5eccad28b9b3,5385d9fe-df58-4a0d-ad98-797e1c93bc7e,University of Calgary,Internal Medicine Residency Program,,2010,2013,,,,University of Calgary Internal Medicine Residency Program 2010 – 2013,2
151fa3f3-ecbe-4034-a902-053b6612083d,5385d9fe-df58-4a0d-ad98-797e1c93bc7e,University of Calgary,Doctor of Medicine - MD,,2007,2010,,,,University of Calgary Doctor of Medicine - MD 2007 – 2010,3
f4328703-a7a2-4552-a532-b97928a3138e,5385d9fe-df58-4a0d-ad98-797e1c93bc7e,University of Calgary,"Bachelor of Health Sciences, Biomedicine",,2003,2007,Honors,,,"University of Calgary Bachelor of Health Sciences, Biomedicine 2003 – 2007 Grade: Honors",4
543f9cf6-a48f-4f33-9501-3c291a4a5d3a,63786a31-72e1-4fab-a6ce-cf85ad72db2f,"Schulich School of Engineering, University of Calgary","Master of Science - MSc, Biomedical Engineering",,Sep 2024,Jun 2026,,,,"Schulich School of Engineering, University of Calgary Master of Science - MSc, Biomedical Engineering Sep 2024 – Jun 2026",0
824969b7-d49f-45cc-8d98-0bded7c8c35e,63786a31-72e1-4fab-a6ce-cf85ad72db2f,University of Calgary,"Bachelor of Health Sciences - BHSc, Honours in Bioinformatics",,Sep 2020,Jun 2024,3.86/4.00,,"Skills: Scientific Experimentation, Research Skills, +8 skills","University of Calgary Bachelor of Health Sciences - BHSc, Honours in Bioinformatics Sep 2020 – Jun 2024 Grade: 3.86/4.00 Skills: Scientific Experimentation, Research Skills, +8 skills",1
e265aa86-38ed-4969-8d1a-58b6f6a0eb7b,63786a31-72e1-4fab-a6ce-cf85ad72db2f,Henry Wise Wood High School,High School Diploma,,Sep 2017,Jun 2020,93,Badminton Team (2017-2020) Honors with Distinction,,"Henry Wise Wood High School High School Diploma Sep 2017 – Jun 2020 Grade: 93 Activities and societies: Badminton Team (2017-2020) Honors with Distinction Skills: Leadership, Badminton",2
33ffc893-bfad-48f8-bcce-44163c47e6d9,aabd2af1-3e36-47c2-9dd4-64ae2244aced,University of Calgary,"Honors in Neuroscience, Neuroscience",,Sep 2022,Present,,,,"University of Calgary Honors in Neuroscience, Neuroscience Sep 2022 – Present",0
878bb654-193c-4d75-9a42-e19d46c415f5,a9fb27db-b753-48c5-82ed-120244cf093b,Mount Royal University,Bachelor of Nursing,,Sep 2021,May 2025,,,,Mount Royal University Bachelor of Nursing Sep 2021 – May 2025 Presidents Honour Roll 2023-2024,0
f7df0def-11fe-4c78-998b-4bed681fea0a,b2e463f1-fa7c-4f6f-890d-0cd5676599a8,University of Calgary,"Bachelor of Science - BS, Neuroscience",,Sep 2024,2028,4.0,,,"University of Calgary Bachelor of Science - BS, Neuroscience Sep 2024 – 2028 Grade: 4.0",0
de665043-2e0f-4f02-9aa7-cc2d277af15c,b2e463f1-fa7c-4f6f-890d-0cd5676599a8,Henry Wise Wood High School,,,Sep 2021,Jun 2024,,Model UN Delegate (Oct 2022 - Jun 2024) | WiseMUN USG of Technology & Vice Chair (May 2023 - Dec 2023) | Interact Club (Sep 2021 - Jun 2024) | Business Club Administrative Director (Oct 2022 - Jun 2024) | STEM Club Member (Sep 2022 - Jun 2024) & Head of Events (Oct 2023 - Jun 2024) | Founder of Neuron Networking Club (Sep 2023 - Jun 2024) | APEGA Science Olympics 2x Team Member & Winner | LINK Leader | Physics Teacher Assistant,,Henry Wise Wood High School Sep 2021 – Jun 2024 Grade: 98% Activities and societies: Model UN Delegate (Oct 2022 - Jun 2024) | WiseMUN USG of Technology & Vice Chair (May 2023 - Dec 2023) | Interact Club (Sep 2021 - Jun 2024) | Business Club Administrative Director (Oct 2022 - Jun 2024) | STEM Club Member (Sep 2022 - Jun 2024) & Head of Events (Oct 2023 - Jun 2024) | Founder of Neuron Networking Club (Sep 2023 - Jun 2024) | APEGA Science Olympics 2x Team Member & Winner | LINK Leader | Physics T,1
8d42e921-8bd4-426c-a2a6-53c89bb82044,61d6dada-0d7d-4b02-8c05-7dc3816c9a49,University of Calgary,Faculty of Science and Arts,,2024,2028,,,,University of Calgary Faculty of Science and Arts 2024 – 2028,0
